Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
17.4191,0.6935,65.4242,115.1364,139.0076,0.9224,4.7094,1.0000,5.8957,5.8957,6.3986,9FA54956-6E40-41AC-B78F-16964E82A09D,0.5682,2.1247,1.2073,15.6745,2019-10-22T14:08:25.938,5.468910e+01,3.6166
168.4290,0.5791,44.0630,90.0536,117.1233,0.5196,14.6441,0.0652,59.4989,3.8815,26.4290,DA2BBEE0-55F5-4107-A832-55A2D96852EE,0.4893,2.6581,1.3006,18.3621,2019-10-22T14:08:26.037,1.644330e+03,17.5266
11.5629,0.7596,44.2843,104.0392,127.7059,0.3171,3.8370,0.0719,20.9638,1.5063,10.8498,03AE2905-12E7-47F7-8C38-4FDCB46463E7,0.4257,2.8838,1.2275,5.2182,2019-10-22T14:08:26.149,2.957775e+01,5.8422
33.7048,0.9464,39.5385,106.2548,134.8606,0.9870,6.5509,1.0000,7.4834,7.4834,7.5114,1CC047F6-94AF-41E7-BD12-815EBE9FC625,0.3721,3.4109,1.2692,8.8517,2019-10-22T14:08:26.149,1.471976e+02,6.3986
32.8105,0.6207,70.9608,121.9216,137.8431,0.7415,6.4634,0.2440,16.0886,3.9254,9.7370,D10CC993-EED0-4B7F-9B2C-8EBFB3EF5168,0.5820,1.9425,1.1306,9.3764,2019-10-22T14:08:26.237,1.413785e+02,6.3986
94.6239,0.4020,39.3601,95.9826,117.8872,0.6267,10.9763,0.3732,19.5559,7.2979,18.0830,4172F7E1-AC12-4E2A-A57E-F9CC056FC738,0.4101,2.9951,1.2282,15.7168,2019-10-22T14:08:26.439,6.924123e+02,7.5114
99.9310,0.8379,54.0373,118.9979,141.1805,0.9264,11.2799,0.3944,21.4471,8.4587,17.5266,5A0899C5-C4BA-4943-A031-0C53E7BF7B97,0.4541,2.6126,1.1864,13.6166,2019-10-22T14:08:26.636,7.514740e+02,11.9626
24.5003,0.3687,70.4699,135.2892,160.9699,0.3017,5.5852,0.0557,30.3719,1.6920,15.8574,D7A26699-F73D-4F3C-AE8C-35A672EB9809,0.5209,2.2842,1.1898,8.7774,2019-10-22T14:08:26.636,9.122646e+01,4.7294
65.3791,0.7220,64.4840,129.7901,151.2041,0.7312,9.1238,0.1090,32.8163,3.5754,18.0830,1F9CAA3C-3350-4E1D-BD00-2F1EE61EFF3B,0.4968,2.3448,1.1650,11.2570,2019-10-22T14:08:26.636,3.976699e+02,9.7370
112.4116,0.5214,50.5367,104.0471,125.6328,0.7004,11.9636,0.3112,22.9840,7.1523,18.6394,82072458-FA5C-40ED-B21C-912D20DEAA1D,0.4857,2.4860,1.2075,12.6349,2019-10-22T14:08:26.836,8.965623e+02,10.2934
111.1322,0.3977,55.6654,113.7471,135.3156,0.4500,11.8953,0.1071,38.9872,4.1767,25.8726,855B2C12-18D2-49B1-BD03-7FC55C1F70D6,0.4894,2.4309,1.1896,12.2278,2019-10-22T14:08:26.836,8.813000e+02,9.7370
15.6170,0.4399,54.9837,117.8374,146.4146,0.6872,4.4592,0.4294,9.4171,4.0435,8.0678,34026211-E1BE-4BBB-9DAB-29EC82CF451F,0.4666,2.6629,1.2425,14.3612,2019-10-22T14:08:26.938,4.642605e+01,2.5038
121.1440,0.7705,47.0814,100.9327,119.1310,0.9585,12.4196,0.7236,15.5479,11.2499,15.3010,B7D23917-F42D-4C04-B297-49CDBF1E9731,0.4665,2.5303,1.1803,14.5930,2019-10-22T14:08:26.938,1.003036e+03,10.8498
